 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       3081774      351788720  [B (java.base@17.0.7)
   2:        436783      121862328  [I (java.base@17.0.7)
   3:       3040246       72965904  java.lang.String (java.base@17.0.7)
   4:       1774934       56797888  java.util.HashMap$Node (java.base@17.0.7)
   5:       1358955       32614920  com.intellij.openapi.vcs.LocalFilePath
   6:        258777       29087304  [Ljava.lang.Object; (java.base@17.0.7)
   7:         59609       15205520  [Ljava.util.HashMap$Node; (java.base@17.0.7)
   8:        111772       14646728  java.lang.Class (java.base@17.0.7)
   9:         22766       14030320  [J (java.base@17.0.7)
  10:        320337       12813480  com.intellij.util.lang.ImmutableZipEntry
  11:        146271        5850840  java.util.LinkedHashMap$Entry (java.base@17.0.7)
  12:        170643        5460576  com.intellij.openapi.vfs.newvfs.impl.VfsData$DirectoryData
  13:        159507        5104224  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.7)
  14:           448        3851672  [Lcom.intellij.util.lang.ImmutableZipEntry;
  15:        123834        2972016  com.google.common.collect.ImmutableMapEntry
  16:         91007        2912224  com.android.resources.base.BasicValueResourceItem
  17:        118868        2852832  java.util.ArrayList (java.base@17.0.7)
  18:          2139        2804392  [C (java.base@17.0.7)
  19:         58981        2359240  com.android.ide.common.rendering.api.StyleItemResourceValueImpl
  20:         40964        1966272  java.util.HashMap (java.base@17.0.7)
  21:          3286        1937800  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.7)
  22:         60043        1921376  com.intellij.util.containers.IntObjectLRUMap$MapEntry
  23:         52424        1677568  java.util.Hashtable$Entry (java.base@17.0.7)
  24:         66837        1604088  com.android.ide.common.rendering.api.ResourceReference
  25:         37252        1490080  java.util.TreeMap$Entry (java.base@17.0.7)
  26:         25943        1452808  java.util.LinkedHashMap (java.base@17.0.7)
  27:         58563        1405512  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry
  28:         28572        1371456  java.lang.invoke.MemberName (java.base@17.0.7)
  29:          3646        1318688  [D (java.base@17.0.7)
  30:         32728        1286592  [Ljava.lang.String; (java.base@17.0.7)
  31:           142        1278304  [Lcom.intellij.concurrency.ConcurrentIntObjectHashMap$Node;
  32:         78189        1251024  com.google.common.collect.SingletonImmutableList
  33:         49778        1194672  kotlin.Pair
  34:         12536        1103168  java.lang.reflect.Method (java.base@17.0.7)
  35:         65014        1040224  java.lang.Object (java.base@17.0.7)
  36:         31939        1022048  com.android.resources.base.BasicDensityBasedFileResourceItem
  37:          9295        1020080  [Lcom.google.common.collect.ImmutableMapEntry;
  38:         20956        1005888  com.android.tools.deployer.ZipUtils$ZipEntry
  39:         40210         965040  com.intellij.util.SmartList
  40:         23472         938880  java.lang.ref.SoftReference (java.base@17.0.7)
